Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC
4,U01,1,1,1,1,1,0,0,0,1
4,U02,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
4,U03,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
4,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
4,U05,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
4,U06,1,1,1,1,1,0,0,0,1
4,U08,1,1,1,1,1,0,0,0,1
4,U09,0.885802469135803,0.493150684931507,1,0.871527777777778,0.660550458715596,0.128472222222222,0,0.0277777777777778,0.996238425925926
4,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.00520833333333333,0.999131944444444
5,U01,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00173611111111111,0.999903549382716
5,U02,0.990740740740741,0.923076923076923,1,0.989583333333333,0.96,0.0104166666666667,0,0,1
5,U03,1,1,1,1,1,0,0,0,1
5,U04,0.981481481481482,0.875,0.972222222222222,0.982638888888889,0.921052631578947,0.0173611111111111,0.0277777777777778,0.0277777777777778,0.998553240740741
5,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999903549382716
5,U06,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
5,U08,1,1,1,1,1,0,0,0,1
5,U09,0.925925925925926,0.6,1,0.916666666666667,0.75,0.0833333333333333,0,0,1
5,U10,0.901234567901235,1,0.111111111111111,1,0.2,0,0.888888888888889,0.00694444444444444,0.996238425925926
6,U01,1,1,1,1,1,0,0,0,1
6,U02,1,1,1,1,1,0,0,0,1
6,U03,1,1,1,1,1,0,0,0,1
6,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0277777777777778,0.999228395061728
6,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999807098765432
6,U06,1,1,1,1,1,0,0,0,1
6,U08,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
6,U09,0.888888888888889,0.5,0.972222222222222,0.878472222222222,0.660377358490566,0.121527777777778,0.0277777777777778,0.0607638888888889,0.987654320987654
6,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.411458333333333,0.706211419753086
7,U01,1,1,1,1,1,0,0,0,1
7,U02,1,1,1,1,1,0,0,0,1
7,U03,1,1,1,1,1,0,0,0,1
7,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00173611111111111,0.999903549382716
7,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
7,U06,1,1,1,1,1,0,0,0,1
7,U08,1,1,1,1,1,0,0,0,1
7,U09,0.922839506172839,0.590163934426229,1,0.913194444444444,0.742268041237113,0.0868055555555556,0,0.0277777777777778,0.998456790123457
