Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC,Support
6,U09,0.9,0.5,0.888888888888889,0.901234567901235,0.64,0.0987654320987654,0.111111111111111,0.108024691358025,0.984739368998628,36
6,U10,0.911111111111111,1,0.111111111111111,1,0.2,0,0.888888888888889,0.00308641975308642,0.999657064471879,36
7,U01,0.994444444444444,0.972222222222222,0.972222222222222,0.996913580246914,0.972222222222222,0.00308641975308642,0.0277777777777778,0.0216049382716049,0.999571330589849,36
7,U02,1,1,1,1,1,0,0,0,1,36
7,U03,1,1,1,1,1,0,0,0,1,36
7,U04,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0277777777777778,0.998971193415638,36
7,U05,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0.00154320987654321,0.999742798353909,36
7,U06,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
7,U07,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0,1,36
7,U08,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
7,U09,0.905555555555556,0.515625,0.916666666666667,0.904320987654321,0.66,0.095679012345679,0.0833333333333333,0.0848765432098766,0.986711248285322,36
7,U10,0.911111111111111,1,0.111111111111111,1,0.2,0,0.888888888888889,0.0277777777777778,0.994941700960219,36
8,U01,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
8,U02,1,1,1,1,1,0,0,0,1,36
8,U03,1,1,1,1,1,0,0,0,1,36
8,U04,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.00154320987654321,0.99991426611797,36
8,U05,0.988888888888889,0.921052631578947,0.972222222222222,0.990740740740741,0.945945945945946,0.00925925925925926,0.0277777777777778,0.00462962962962963,0.999485596707819,36
8,U06,1,1,1,1,1,0,0,0,1,36
8,U07,0.991666666666667,0.923076923076923,1,0.990740740740741,0.96,0.00925925925925926,0,0,1,36
8,U08,0.994444444444444,0.972222222222222,0.972222222222222,0.996913580246914,0.972222222222222,0.00308641975308642,0.0277777777777778,0.00154320987654321,0.99982853223594,36
8,U09,0.966666666666667,0.785714285714286,0.916666666666667,0.972222222222222,0.846153846153846,0.0277777777777778,0.0833333333333333,0.0817901234567901,0.991426611796982,36
8,U10,0.977777777777778,1,0.777777777777778,1,0.875,0,0.222222222222222,0.00154320987654321,0.999485596707819,36
9,U01,1,1,1,1,1,0,0,0,1,36
9,U02,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
9,U03,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
9,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
9,U05,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
9,U06,1,1,1,1,1,0,0,0,1,36
9,U07,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
9,U08,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0.00154320987654321,0.99991426611797,36
9,U09,0.897222222222222,0.492753623188406,0.944444444444444,0.891975308641975,0.647619047619048,0.108024691358025,0.0555555555555556,0.0833333333333333,0.991255144032922,36
9,U10,0.902777777777778,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.0231481481481482,0.997513717421125,36
10,U01,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
10,U02,1,1,1,1,1,0,0,0,1,36
10,U03,1,1,1,1,1,0,0,0,1,36
10,U04,0.991666666666667,0.945945945945946,0.972222222222222,0.993827160493827,0.958904109589041,0.00617283950617284,0.0277777777777778,0.0277777777777778,0.999142661179698,36
10,U05,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
10,U06,1,1,1,1,1,0,0,0,1,36
10,U07,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
10,U08,1,1,1,1,1,0,0,0,1,36
10,U09,0.911111111111111,0.53030303030303,0.972222222222222,0.904320987654321,0.686274509803921,0.095679012345679,0.0277777777777778,0.0601851851851852,0.989111796982167,36
10,U10,0.905555555555556,1,0.0555555555555556,1,0.105263157894737,0,0.944444444444444,0.00462962962962963,0.996399176954732,36
