Repeat,Rank,Feature,MRMRScore
3,26,3,2.54647589758728e-15
3,27,27,2.54647589758728e-15
3,28,10,2.46055144498626e-15
3,29,11,2.36113242711998e-15
3,30,51,2.25269782957975e-15
3,31,68,2.2511663524756e-15
3,32,58,2.24261643405294e-15
3,33,88,2.21304947710528e-15
3,34,77,2.07825375374212e-15
3,35,15,2.04410203467604e-15
3,36,1,1.96585006666731e-15
3,37,99,1.95806270755586e-15
3,38,72,1.86881451655775e-15
3,39,39,1.86382619917844e-15
3,40,24,1.86382619917844e-15
3,41,23,1.85907845453301e-15
3,42,7,1.85907845453301e-15
3,43,127,1.78683193565614e-15
3,44,53,1.78257379699577e-15
3,45,33,1.75412535970743e-15
3,46,2,1.73629467870676e-15
3,47,6,1.70357305172902e-15
3,48,20,1.70357305172902e-15
3,49,76,1.70346778262538e-15
3,50,18,1.68818462030729e-15
3,51,80,1.68478114910047e-15
3,52,66,1.67654600993902e-15
3,53,35,1.66201972513171e-15
3,54,12,1.65312344428193e-15
3,55,46,1.64133349927889e-15
3,56,69,1.61228877263657e-15
3,57,93,1.51603014096047e-15
3,58,8,1.5058202441353e-15
3,59,41,1.46518203936757e-15
3,60,19,1.45017228837468e-15
3,61,48,1.44490048936038e-15
3,62,47,1.42905380441493e-15
3,63,28,1.42592954174356e-15
3,64,14,1.37136993337113e-15
3,65,61,1.32853985966421e-15
3,66,128,1.32248595034759e-15
3,67,98,1.26933218960073e-15
3,68,63,1.2658718536467e-15
3,69,5,1.26191480494977e-15
3,70,122,1.25343753033627e-15
3,71,4,1.2327987314624e-15
3,72,31,1.22258483296493e-15
3,73,116,1.16850715091755e-15
3,74,36,1.16761602002634e-15
3,75,59,1.1597279349252e-15
3,76,50,1.15487015832537e-15
3,77,97,1.12282740523925e-15
3,78,123,1.10626037733119e-15
3,79,21,1.08934607524239e-15
3,80,101,1.08359439566565e-15
3,81,16,1.0487758457035e-15
3,82,130,1.04532822444599e-15
3,83,113,1.00952319490355e-15
3,84,9,1.00114478801938e-15
3,85,29,9.99844789507683e-16
