Feature,Mean,Median,StandardDeviation,Variance,Minimum,Maximum,Range
33,0.0152372709865687,0.0140062073448686,0.00606517597634218,3.67863596239983e-05,0.00643529245324447,0.0355405452527796,0.0291052527995351
34,0.195292822650273,0.162778463558428,0.116421050888399,0.0135538610899592,0.0456072192021748,0.489558804887718,0.443951585685543
35,0.00028105272357739,0.000217244951191097,0.000227241194508627,5.16385604817074e-08,5.03474305840051e-07,0.00106388213450327,0.00106337866019743
36,0.0652277440183347,0.0646226471051868,0.0053823476278526,2.89696659870505e-05,0.0548873390585491,0.0827147904010354,0.0278274513424863
37,0.000256543114598028,0.000184670424227952,0.000192429623006049,3.702915981025e-08,3.55612732506136e-05,0.00120006875939218,0.00116450748614156
38,0.000436478781316943,0.000334918975467416,0.000330664122430479,1.09338761862719e-07,1.75382048392659e-05,0.00152552874796695,0.00150799054312768
39,0.00488264193264974,0.00477848521187904,0.00144201038561926,2.07939395223382e-06,0.00211179351395438,0.0116973401053199,0.00958554659136555
40,0.195011769926696,0.162600849840747,0.116451727895106,0.0135610049297558,0.0452225123862687,0.488963913561977,0.443741401175708
41,0.000701817725984111,0.000642938558024575,0.000407099549603262,1.65730043287179e-07,4.08745259651831e-05,0.00205019128993131,0.00200931676396613
42,0.000322045899074117,0.000252203886090247,0.000254809788723904,6.49280284295204e-08,3.97938249050118e-06,0.00115418398886866,0.00115020460637816
43,0.000436478781316943,0.000334918975467416,0.000330664122430479,1.09338761862719e-07,1.75382048392659e-05,0.00152552874796695,0.00150799054312768
